intervention,count
"clinical and serological differences among juvenile, adult, and late-onset systemic lupus erythematosus in a cohort of SLE patients",1
Povetacicept,1
Stool sample,1
Ujjayi pranayama,1
dapagliflozin,1
ANX009,1
zetomipzomib,1
Etonogestrel,1
YTB323,1
efgartigimod IV,1
HOP-STEP (Healthy Outcomes in Pregnancy with SLE Through Education of Providers) Intervention,1
Routine Care,1
RO7507062,1
68Ga-FAPI-04 PET,1
Decision Support Test,1
GLPG3667,1
Spectralis SD-OCT,1
Immunosuppressive Agents,1
Methylprednisolone Injectable Suspension,1
MMF Discontinuation,1
MMF maintain,1
MTX Discontinuation,1
MTX maintain,1
Recombinant Herpes Zoster Vaccine (RZV),1
PF-06823859,1
Anti _KU antibodies,1
Glucocorticoid,1
Therapeutic management following access by the physician to his patient's ePROs,1
conventional therapy,1
CNCT19 cell injection,1
Mescaline sodium enteric-coated tablets,1
Morte-mescaline,1
fasting blood suger,1
Envudeucitinib,1
JMKX000189,1
CCX168,1
Shingrix,1
[14C]CCX168,1
anti-CD19 CAR NK cells (KN5501),1
BMS-986326,1
Placebo for BMS-986326,1
Placebo in phase Ⅱ,1
high dose GR1603 in phase Ⅱ,1
high dose GR1603 in phaseⅠb,1
low dose GR1603 in phase Ⅰb,1
low dose GR1603 in phase Ⅱ,1
Nicotinamide Riboside,1
Imvotamab,1
CD19 targeted CAR-T cells,1
Basic treatment,1
RY_SW01 cell injection,1
Felzartamab,1
oral health status,1
Multidisciplinary discussion,1
CD19 Universal CAR-γδ T Cells,1
CD19 CAR-T cell infusion,1
Dapagliflozin 10mg Tab orally once daily,1
anti dfs70 antibodies,1
CABA-201,1
SG301 SC Placebo,1
PiggyBac Transposon-Mediated CD19 CAR-T Therapy,1
IMPT-514,1
Dapagliflozin 10mg Tab,1
Standard maintenance therapy,1
MK-6194,1
The Morisky Medication Adherence Scale,1
HIIT combined with resistance training,1
APG-2575,1
GSK4347859,1
MB-CART19.1,1
Brief pain exposure therapy (BPET),1
Laboratory investigtions,1
Culturally congruent coaching,1
Health360x app,1
Micro-learning content,1
neuropsychological test,1
DNA extraction and PCR amplification,1
Glucocorticoid maintenance group,1
Glucocorticoid withdrawal group,1
Gusacitinib,1
CD20/BCMA-directed CAR-T cells,1
CNTY-101,1
Lymphodepleting Chemotherapy,1
"Anti-Ribosomal P Protein,Anti-U1 RNP, Anti-Nucleosome and Anti-Double Strad DNA Antibodies",1
Listening to Qur'an Recital,1
PRG-1801 （CAR-T against BCMA）,1
FKC288,1
"Renal multi-parametric MRI, Renal doppler ultrasound, Serum CD147",1
fibronigin to albumin ratio,1
VAY736 1ml PFS,1
VAY736 2 ml PFS,1
VAY736 2ml AI,1
SC291,1
2019 European League Against Rheumatism/American College of Rheumatology classification criteria for systemic lupus erythematosus.,1
Anti phospholipid marker,1
Antinuclear Antibody tests (ANA),1
C3 and C4 complement level.,1
CBC,1
Rest of ANA profile,1
SLEDAI scores,1
Serum creatinine and Alb/create ratio,1
4 week FMP,1
7 week FMP,1
Bendamustine,1
RD06-04 Cells injection,1
CD19-CAR-DNT cells,1
single dose of CNCT19,1
Obecabtagene autoleucel (obe-cel),1
PIT565,1
RJMty19 (CD19-CAR-DNT cells),1
LMY-920,1
anti-CD19 CAR T cell therapy,1
CD19/BCMA CAR-T cell therapy,1
CD19- BCMA CAR-T cells,1
Lupus Impact Tracker questionnaire,1
Treatment :Abacavir 600 mg/lamivudine 300 mg,1
Sulfasalazine Tablets,1
Blood sample for analysis of plasma of organochlorine pesticides concentration,1
Blood sample for cell collection,1
Anti-CD19-CD3E-CAR-T cells,1
ATHENA CAR-T,1
ADI-001,1
Chemotherapy Agents,1
TAK-007,1
"Electroencephalography (EEG) signals, which will be detected noninvasively from dry scalp surface electrodes while the subjects are in a state of wakeful rest.",1
YTS109,1
Intervention,1
A-319,1
Fibrinogen to albumin Ratio and C-reactive to Albumin Ratio,1
Voclosporin（QL1074）,1
Belimumab (GSK1550188),1
Belantamab,1
ADX-097,1
anti-CD19 CAR-NK cells,1
BCMA/CD19 CAR-T cells,1
T-reg cells,1
ATA3219,1
Fludarabine phosphate,1
Tafasitamab,1
Tafasitamab and NK cells,1
TQB3702 placebo,1
TQB3702 tablets,1
Anti Phospholipid antibodies,1
EEG,1
CO-LEAD,1
IMPT-514 CART Cell Injection,1
SCRI-CAR19v3,1
"After preconditioning with chemotherapy, F01 will be evaluated.",1
REACH Mobile Health Application,1
REACH Peer Coaching Program,1
Normal saline,1
Umbilical cord mesenchymal stem cells,1
renal biobsy,1
PRG-2311,1
PRG-1801,1
Anti-BCMA and CD19 CART cells will be injected intravenously on a one-time basis.,1
IM19 CAR-T cells,1
Cyclophosphamide LD,1
Urinary galectin-3 binding protein,1
GC012F Injection,1
IMC-002 + SOC,1
Placebo + SOC,1
STK-009,1
SYNCAR-001,1
On site monitoring,1
Remote Monitoring,1
CD19 or CD19-BCMA CAR-T,1
RD06-04 CART Cell Injection,1
FIT Teens,1
"Fludarabine, Cyclophosphamide",1
Obexelimab,1
Standard Treatment for SLE,1
JWCAR201,1
budoprutug,1
Blinatumomab,1
Inebilizumab,1
GSK4527363,1
Placebo matching GSK4527363,1
rapcabtagene autoleucel,1
"Full history , clinical examination, assesment of disease activity ,Laboratory investigations ( CBC , ESR, CRP Serum creatinine and blood urea, Random plas",1
Assessment activation of interferon pathway,1
Fibroscan,1
CLN-978,1
Anti-CD19 IL-10/IL15 CAR-NK,1
Isoniazid/Pyridoxine,1
Saccharum Lactis,1
DB-2304,1
renal doppler,1
Autoimmunity in plasma,1
Kidney biopsy,1
Urinary extracellular vesicle testing,1
SAR448501,1
Seluang fish oil (Rasbora argyrotaenia) and synbiotic,1
JY231 injection,1
NK 010 or NK042,1
Telitacicept 160mg,1
BCMA CART + CD19 CART,1
CAR T cell,1
CD19 Universal CAR-T cells,1
SYS6020,1
zamtocabtagene autoleucel,1
Metabolically Armed CD19 CAR-T cells,1
interleukin 23,1
IPG11406,1
"Health coach-led, online support program for people living with lupus",1
Clinical laboratory evaluations - Biochemistry,1
Clinical laboratory evaluations - Hematology,1
Clinical laboratory evaluations - Serology,1
Cytokines and chemokine profiling,1
Electrocardiogram,1
PROMIS instruments,1
Physical examination,1
Pregnancy Test,1
SF-36 questionnaire,1
SLE activity evaluation,1
SLE biomarker profiling,1
Urinalysis,1
single dose of UC-MSCs,1
CB-010,1
colour doppler of the renal artery and measurement of resistive index,1
CD19/BCMA Lupus Nephritis Targeted CAR T-cells injection,1
Blinatumomab 9ug,1
CM313 injection,1
anti-CD19/BCMA CAR NK cells (KN5601),1
BCMA-CD19 CAR-T therapy,1
systemic immune inflammatory index,1
VIS171,1
HN2301 injection,1
Blood Collection,1
Inaticabtagene autoleucel Injection,1
fibroblast growth factor 23,1
CART19,1
SCTB35 injection,1
"1 blood sample, 40 mL (collection during a blood test, part of the standard of care for this disease)",1
Serum FGF21 measurement by Enzyme- linked immunosorbent assay (ELISA),1
ZM001 Injection,1
GNC-038,1
TQB3702 Placebo,1
TQB3702 Tablets,1
TQB3702 Tablets+TQB3702 Placebo,1
DREAM Adaptive Intervention,1
Vunakizumab (IL-17A inhibitor),1
Engineering of chimeric antigen receptors targeting CD19 in allogeneic T cells,1
Antimalarial with or without oral glucocorticosteroid,1
Mesenchymal Stem Cells,1
MC-1-50,1
AZD0120,1
Conventional pharmacotherapy,1
Yu-Tone Music Intervention,1
CAR-T cell,1
Equecabtagene Autoleucel Injection,1
High-dose CAR-T cells group,1
Low-dose CAR-T cells group,1
CLBR001 + SWI019,1
AZD5492,1
CPTX2309,1
Patients with systemic lupus erythematosus,1
UCAR T-cell group,1
CTX112,1
anti-BCMA/CD70-CAR-T cells,1
C-CAR168,1
YTS109 cell injection,1
GB261,1
Universal anti-CD70 CAR-T (CHT101),1
CD19-BCMA CAR-T cells infusion,1
umbilical cord blood CD19-BCMA CAR-T cells infusion,1
SHR-2173,1
Lenalidomide,1
Methotrexate (MTX),1
UTAA91 injection,1
Ganciclovir (GCV),1
Interleukin-2 (IL-2),1
Odronextamab,1
Vonsetamig,1
ABBV-319,1
universal allogeneic anti-CD19/BCMA CAR T-cells,1
OL-108,1
IMVT-1402,1
P-CD19CD20-ALLO1 Cells,1
Rimiducid,1
Active vagus nerve stimulation,1
TEAM-LEADS,1
Injection of MSC303,1
Exposure and immune profiles,1
QLS4131 for Injection.,1
Azathioprine (AZA),1
TPMT,1
interleukin- 17,1
Land-based Liuzijue exercise,1
Water-based Liuzijue exercise,1
Gliflozin,1
HLX79 10mg/kg/Placebo+HLX01,1
HLX79 20mg/kg/Placebo + HLX01,1
HLX79 30mg/kg/placebo+HLX01,1
KITE-363,1
hUC-MSCs treatment (high dose),1
hUC-MSCs treatment (low dose),1
hUC-MSCs treatment (medium dose),1
hUC-MSCs treatment （Double dose）,1
Albumin to globulin ratio and prognostic nutritional index model,1
Recombinant Humanized Monoclonal Antibody MIL62 Injection,1
Synbiotic,1
Anti-BCMA and CD19 CART cells will be injected intravenously on a one-time basis,1
Obecabtagene autoleucel,1
Voclosporin (LUPKYNIS),1
observational study,1
Cyclophosphamide (CYC),1
Immunosuppressant other than CYC,1
Methylprednisolone (Corticosteroid),1
Telitacicept Freeze-dried powder Injection 80mg,1
NK510 : allogeneic genetic modified NK,1
ALLO-329,1
HBI0101 CART,1
"Dengue 1,2,3,4 (attenuated) vaccine",1
Coenzyme Q10,1
muscoloskeletal ultrasound and synovial biopsy,1
CM355,1
ONT01 is a small molecule CD11b modulator.,1
UB-VV410,1
BMS-986515,1
Anti-CD19/BCMA CAR gene vector injection will be injected intravenously on a one-time basis,1
data collection,1
4 ml. of fresh venous blood will be collected from each patient on EDTA tube and will be used for detection of the following : T cell immunoglobulin G ( TIgG) and T cell immunoglobulin M (TIgM) by,1
BCD-256,1
Divozilimab,1
Adalimumab,1
Anakinra,1
Bimekizumab,1
Canakinumab,1
Certolizumab,1
Cyclosporine,1
Golimumab,1
Guselkumab,1
Infliximab,1
Ixekizumab,1
Mycophenolate,1
Risankizumab,1
Sulfasalazine,1
Ustekinumab,1
Collect data on all pregnancies before and after diagnosis of SLE.,1
CD19/CD22/BCMA CAR-T cells(BZE2204),1
Current standard of care treatment options,1
Creating Health Online Course,1
Delayed access to Creating Health Online Course,1
Low gluten diet,1
626,1
MiPAL,1
Surovatamig,1
Virtual Reiki Therapy,1
CD19 UCAR-T cells,1
Cizutamig,1
Alnuctamab,1
Low-Dose Naltrexone (LDN),1
Low-Frequency Electromagnetic Resonance Therapy (LF-EMR),1
Sham Resonance Device (Inactive Control),1
2-HOBA acetate (2-Hydroxybenzlamine acetate),1
SHR-2173 Injection Blank Preparation,1
NTR1011,1
anti-CD19/BCMA U CAR T cells,1
Immune Checkpoint Inhibitors,1
blood draw,1
sham transcutaneous vagus nerve stimulation (tVNS) plus aerobic exercise,1
transcutaneous vagus nerve stimulation (tVNS),1
VENT-03,1
cenerimod 4 mg,1
CD19/BCMA CAR T-cells,1
allogeneic umbilical cord blood-derived CAR-T targeting CD19 and BCMA,1
LY4298445,1
EG-501,1
Emotional Awareness and Expression Therapy (EAET),1
measuring gene expression,1
SHR-2173 Injection Placebo,1
BCT301,1
D-2570,1
D-2570 Placebo,1
ACE1831,1
Lymphodepleting chemotherapy,1
QT-019C,1
BCMA/CD70 CAR-T cells,1
LBL-047 for Injection,1
LBL-047 placebo for injection,1
Dapagliflozin (10Mg Tab) along with standard medical therapy,1
"ICG318, BCMA-CD19-IL-15/IL-15 sushi Compound CAR T following cyclophosphamide-only lymphodepletion",1
LUCAR-G79D T cells,1
V001-BCMA,1
GR1803 injection,1
Hypnotherapy,1
KN5501 cell injection,1
Autologous CD19-BCMA Dual-Target CAR T-Cell Therapy,1
HSK39297 200mgQD,1
HSK39297 300mgQD,1
MK-1045,1
CRC01,1
GSK5926371,1
Firsekibart,1
Omega-3 Fatty Acids (EPA plus DHA),1
SIM0278 injection,1
Clinical Pilates Training,1
Home exercise program,1
TREX1 gene polymorphisms,1
EVACUR,1
PTOC1,1
ACT100 Injection,1
Placebo for ACT100,1
BI 3000202,1
AXA-NK02,1
TI-0032-III injection,1
Autologous CD19-Targeted CAR-T Cells,1
Standard of care treatment,1
QT-019B Cell Injection,1
SG301 SC placebo,1
EVM18001 Injection,1
guided increases in daily walking,1
IASO-782 injection,1
Adults with systemic lupus erythematosus,1
KN5601,1
Allogeneic CD19/BCMA-targeted CAR-γδT cell injection,1
HB2198,1
Standard clinical care,1
Therapeutic Drug Monitoring,1
"CBC, serum creatinine and urea, estimated GFR, ESR, CRP, urine analysis, ANA, anti dsDNA, C3 & C4, serum albumin, 24-hrs urinary protein, and U. ACR",1
serum anti-alpha-actinin antibodies,1
TQH3906 capsule,1
TQH3906 placebo,1
YKST02,1
Blood test and principal collection,1
Examination,1
Optional collection,1
Patient questionnaires,1
ISH0613 for injection,1
anti-CD19/70 CAR T cells (CHT105),1
HN2302 Injection,1
"Autologous anti-CD19 CAR-T cells, intravenous single infusion at protocol-defined dose level (1 x 10^6 or 3 x 10^6 CAR-positive viable T cells/kg).",1
MTS109,1
CD19 CAR-γδ T cell,1
SCTC21C,1
anti-CD19 CAR-T cells,1
Mediterranean Diet-Based Individual Nutrition Counseling,1
anti-CD19/BCMA-UCAR-T cells,1
Observational assessment,1
LVIVO-TaVec400 product,1
QT-219CX,1
